Комментарий,Время,Лайки
Экранизации про Джо Петрозино накинете?,2023-12-27T08:42:43Z,0
"Саша, зачем Вы опустились так низко и были на скандальной голой вечеринке? Неужели вопрос личной репутации для Вас настолько неактуален? Я разочарована в Вас. А так всё хорошо начиналось: карьера, журналистика, признание аудитории, миллионные просмотры. Вы, кто делает интересные фильмы про маньяков и психопатов, кто берёт интервью у профессиональных следователей, неужели думаете, что кто-то теперь захочет с Вами оказаться в одном кадре?",2023-12-27T05:55:14Z,2
"сними про вечеринку, это тоже своего рода трэшак, судя по участникам. ты там наверно самая молодая",2023-12-27T03:16:31Z,2
"Я вообще раньше думал, что ты не из этой тусовочки (дeрьмa(.",2023-12-27T02:42:49Z,2
Неудачный выпуск стандарт фильм редакция про попкова,2023-12-27T00:13:03Z,0
"Саша скажите, а будет репортаж с вечеринки Ивлеевой?",2023-12-26T21:23:49Z,5
"Спасибо за выпуск
Недавно услышала о СКОПИНСКОМ МАНЬЯКЕ, хотелось бы узнать его историю от вашего имени",2023-12-26T19:40:25Z,0
Бедный Петрозино,2023-12-26T17:37:40Z,0
На вечеринке у Ивлеевой пиарилась? продвигала свой канал или маньяков искала? И почему была одета не по дресс-коду я думаю у тебя есть что показать народу😂😂😂😂😂😂,2023-12-26T15:14:43Z,5
"Комментаторы про вечеринку, вы что с ума сошли?)))) какая разница кто на ней был?)) зачем привлекать так много внимания к ней, если вам она не нравится?😂 ну была Саша там и что?)) что поменялось то? Какое-то больно огромное значение придаете этой тусовке, честное слово",2023-12-26T11:38:19Z,1
"не  хочу  душнить,  но  можно  больше  не  про группировки?",2023-12-25T18:39:40Z,0
"Пару глав книги Майка Дэша ,коротЕнько пересказала и норм.Правильно.",2023-12-25T14:07:25Z,1
"Жду выпуск о ""голой вечеринке"", на которой присутствовала Сулим",2023-12-25T12:49:33Z,6
как там на голой вечеринке?,2023-12-25T09:26:32Z,6
Сними видео о блядях и подорасах которые продают нашу страну и участвуют в вечеринке Ивлеевой,2023-12-25T08:24:50Z,8
Отписка. Пусть это смотрит подруга Ивлева,2023-12-25T05:20:24Z,6
"Саша, сделайте выпуск про Александра Комина, маньяк из Вятских полян",2023-12-25T04:24:01Z,0
